Account Number,Birthday,Gender,Ethnicity,Zip Code,Veteran,Disabled,Refugee
3040,1973,Male,W,83704,FALSE,TRUE,FALSE
3040,1957,Female,W,83704,FALSE,FALSE,FALSE
3041,1991,Male,A,83642,FALSE,FALSE,TRUE
3042,1995,Female,W,83714,FALSE,FALSE,FALSE
3042,1986,Male,W,83714,FALSE,FALSE,FALSE
3043,1984,Female,W,83714,FALSE,FALSE,FALSE
3043,1991,Male,W,83714,FALSE,FALSE,FALSE
3043,2014,Female,W,83714,FALSE,FALSE,FALSE
3043,2005,Female,W,83714,FALSE,FALSE,FALSE
3043,2005,Female,W,83714,FALSE,FALSE,FALSE
3043,2002,Male,W,83714,FALSE,FALSE,FALSE
3044,1977,Female,W,83716,FALSE,FALSE,FALSE
3044,1983,Male,H,83716,FALSE,FALSE,FALSE
3045,1981,Female,W,83705,FALSE,FALSE,FALSE
3045,1977,Male,W,83705,FALSE,FALSE,FALSE
3045,2007,Male,W,83705,FALSE,FALSE,FALSE
3046,1986,Female,W,83705,FALSE,FALSE,FALSE
3046,1984,Male,W,83705,FALSE,FALSE,FALSE
3046,2012,Male,W,83705,FALSE,FALSE,FALSE
3047,1976,Female,W,83704,FALSE,FALSE,FALSE
3047,1955,Female,W,83704,FALSE,TRUE,FALSE
3047,1977,Female,W,83704,FALSE,FALSE,FALSE
3048,1963,Male,H,83716,TRUE,FALSE,FALSE
3048,1965,Female,W,83716,FALSE,FALSE,FALSE
3048,1983,Female,H,83716,FALSE,FALSE,FALSE
3049,1973,Female,W,83704,FALSE,FALSE,FALSE
3049,1981,Female,W,83704,FALSE,FALSE,FALSE
3049,1973,Female,W,83704,FALSE,FALSE,FALSE
3049,1964,Female,W,83704,FALSE,FALSE,FALSE
3050,1954,Male,H,83702,FALSE,FALSE,FALSE
3051,1989,Female,W,83705,FALSE,FALSE,FALSE
3051,2011,Male,W,83705,FALSE,FALSE,FALSE
3051,2015,Male,W,83705,FALSE,FALSE,FALSE
3051,1968,Male,W,83705,FALSE,FALSE,FALSE
3051,1999,Female,W,83705,FALSE,FALSE,FALSE
3052,1968,Male,H,83642,FALSE,FALSE,FALSE
3053,1967,Female,W,83713,FALSE,FALSE,FALSE
3054,1994,Male,W,83709,FALSE,FALSE,FALSE
3054,1969,Female,W,83709,FALSE,FALSE,FALSE
3055,1958,Male,AW,83713,FALSE,FALSE,FALSE
3055,1995,Female,AW,83713,FALSE,FALSE,FALSE
3055,1964,Female,AW,83713,FALSE,FALSE,FALSE
3055,1997,Female,AW,83713,FALSE,FALSE,FALSE
3056,1983,Female,W,83709,FALSE,FALSE,FALSE
3056,2005,Female,W,83709,FALSE,FALSE,FALSE
3057,1955,Female,AA,83714,FALSE,TRUE,FALSE
3057,2001,Male,AA,83714,FALSE,FALSE,FALSE
3057,2006,Female,AA,83714,FALSE,FALSE,FALSE
3057,2001,Male,H,83714,FALSE,FALSE,FALSE
3057,2002,Male,H,83714,FALSE,FALSE,FALSE
3058,1953,Female,W,83709,FALSE,FALSE,FALSE
3059,1947,Male,W,83703,TRUE,TRUE,FALSE
3060,1965,Male,W,83705,FALSE,FALSE,FALSE
